Date,close,log_return
2023-01-04,3852.97,0.007510674075383861
2023-01-05,3808.1,-0.011713902384517638
2023-01-06,3895.08,0.022583841176025743
2023-01-09,3892.09,-0.0007679298504950083
2023-01-10,3919.25,0.006954020552452533
2023-01-11,3969.61,0.012767544131229158
2023-01-12,3983.17,0.0034101315868824145
2023-01-13,3999.09,0.003988850553225731
2023-01-17,3990.97,-0.00203252611255067
2023-01-18,3928.86,-0.015685001660276754
2023-01-19,3898.85,-0.007667669607521077
2023-01-20,3972.61,0.018741671559173056
2023-01-23,4019.81,0.011811328415708644
2023-01-24,4016.95,-0.0007117296325205302
2023-01-25,4016.22,-0.00018174643434853976
2023-01-26,4060.43,0.01094771756997659
2023-01-27,4070.56,0.0024917027916835366
2023-01-30,4017.77,-0.013053559781990742
2023-01-31,4076.6,0.01453628532231832
2023-02-01,4119.21,0.010398089735209837
2023-02-02,4179.76,0.014592431217643309
2023-02-03,4136.48,-0.0104086439893738
2023-02-06,4111.08,-0.006159416919169658
2023-02-07,4164.0,0.012790383040920617
2023-02-08,4117.86,-0.011142539811004326
2023-02-09,4081.5,-0.008869043032445845
2023-02-10,4090.46,0.0021928652588769637
2023-02-13,4137.29,0.011383550959928712
2023-02-14,4136.13,-0.0002804160812814871
2023-02-15,4147.6,0.00276928565518908
2023-02-16,4090.41,-0.013884644172641458
2023-02-17,4079.09,-0.002771285205906082
2023-02-21,3997.34,-0.02024478441412292
2023-02-22,3991.05,-0.0015747857327728099
2023-02-23,4012.32,0.00531527346027616
2023-02-24,3970.04,-0.010593457421727237
2023-02-27,3982.24,0.003068304831167268
2023-02-28,3970.15,-0.0030405976856187067
2023-03-01,3951.39,-0.00473646161526986
2023-03-02,3981.35,0.007553542016923487
2023-03-03,4045.64,0.016018800257414867
2023-03-06,4048.42,0.00068692352399502
2023-03-07,3986.37,-0.015445639173959691
2023-03-08,3992.01,0.0014138210863556822
2023-03-09,3918.32,-0.018631872945281458
2023-03-10,3861.59,-0.014583974750191686
2023-03-13,3855.76,-0.001510881613258519
2023-03-14,3919.29,0.016342380801372514
2023-03-15,3891.93,-0.00700533639823675
2023-03-16,3960.28,0.017409551286965197
2023-03-17,3916.64,-0.011080586449226715
2023-03-20,3951.57,0.008878824909595906
2023-03-21,4002.87,0.012898635541985115
2023-03-22,3936.97,-0.016600211922495944
2023-03-23,3948.72,0.0029800838470404045
2023-03-24,3970.99,0.0056239581242092385
2023-03-27,3977.53,0.0016455897389313634
2023-03-28,3971.27,-0.0015750808409311645
2023-03-29,4027.81,0.014136861145887636
2023-03-30,4050.83,0.005698994460608731
2023-03-31,4109.31,0.014333332809426835
2023-04-03,4124.51,0.0036920936495175027
2023-04-04,4100.6,-0.0058139203852078936
2023-04-05,4090.38,-0.0024954291924714767
2023-04-06,4105.02,0.003572739725370866
2023-04-10,4109.11,0.0009958450470115565
2023-04-11,4108.94,-4.137234502721299e-05
2023-04-12,4091.95,-0.004143458650798237
2023-04-13,4146.22,0.013175446748329378
2023-04-14,4137.64,-0.002071498810490624
2023-04-17,4151.32,0.0033007789687626854
2023-04-18,4154.87,0.0008547842551518414
2023-04-19,4154.52,-8.424204429147153e-05
2023-04-20,4129.79,-0.005970339945818637
2023-04-21,4133.52,0.0009027859909256364
2023-04-24,4137.04,0.0008512120612227392
2023-04-25,4071.63,-0.015937145594968172
2023-04-26,4055.99,-0.0038486098771102206
2023-04-27,4135.35,0.019377167380001836
2023-04-28,4169.48,0.008219359612569477
2023-05-01,4167.87,-0.0003862138497261469
2023-05-02,4119.58,-0.01165389752800472
2023-05-03,4090.75,-0.007022889090581685
2023-05-04,4061.22,-0.007244906241250959
2023-05-05,4136.25,0.018306159168067992
2023-05-08,4138.12,0.0004519981658628325
2023-05-09,4119.17,-0.004589891663840717
2023-05-10,4137.64,0.004473890233027689
2023-05-11,4130.62,-0.001698060217456998
2023-05-12,4124.08,-0.001584552162620767
2023-05-15,4136.28,0.0029538685652354957
2023-05-16,4109.9,-0.006398135861992671
2023-05-17,4158.77,0.011820660164447716
2023-05-18,4198.05,0.009400774284705093
2023-05-19,4191.98,-0.001446955746059686
2023-05-22,4192.63,0.00015504597144122556
2023-05-23,4145.58,-0.011285515564489756
2023-05-24,4115.24,-0.007345550785867516
2023-05-25,4151.28,0.00871956478556335
2023-05-26,4205.45,0.012964582735314423
2023-05-30,4205.52,1.664492918251881e-05
2023-05-31,4179.83,-0.006127372232972661
2023-06-01,4221.02,0.009806229149665668
2023-06-02,4282.37,0.014429789652144365
2023-06-05,4273.79,-0.0020055732655688274
2023-06-06,4283.85,0.0023511165774898757
2023-06-07,4267.52,-0.0038192757067676553
2023-06-08,4293.93,0.006169535247098068
2023-06-09,4298.86,0.001147473763687401
2023-06-12,4338.93,0.00927790266568529
2023-06-13,4369.01,0.00690866488336539
2023-06-14,4372.59,0.0008190720692198283
2023-06-15,4425.84,0.012104580063653003
2023-06-16,4409.59,-0.0036783763376515566
2023-06-20,4388.71,-0.0047463803686902395
2023-06-21,4365.69,-0.005259081846185509
2023-06-22,4381.89,0.0037038857650539825
2023-06-23,4348.33,-0.007688274822307051
2023-06-26,4328.82,-0.004496875789266497
2023-06-27,4378.41,0.011390657230512247
2023-06-28,4376.86,-0.0003540724651998062
2023-06-29,4396.44,0.004463550205313638
2023-06-30,4450.38,0.012194363266363695
2023-07-03,4455.59,0.0011700018289602099
2023-07-05,4446.82,-0.0019702536362675716
2023-07-06,4411.59,-0.007954065287478329
2023-07-07,4398.95,-0.002869292613603136
2023-07-10,4409.53,0.0024022317330238963
2023-07-11,4439.26,0.006719588071620208
2023-07-12,4472.16,0.0073838175010525475
2023-07-13,4510.04,0.008434509266770363
2023-07-14,4505.42,-0.0010249061954503702
2023-07-17,4522.79,0.0038479435973783893
2023-07-18,4554.98,0.007092079866133361
2023-07-19,4565.72,0.0023550834835130985
2023-07-20,4534.87,-0.006779806181850034
2023-07-21,4536.34,0.0003241023001034904
2023-07-24,4554.64,0.004025974035343438
2023-07-25,4567.46,0.0028107581456495723
2023-07-26,4566.75,-0.00015545953102247267
2023-07-27,4537.41,-0.006445427491140521
2023-07-28,4582.23,0.009829414508766732
2023-07-31,4588.96,0.0014676396864565788
2023-08-01,4576.73,-0.0026686495524472775
2023-08-02,4513.39,-0.013936235197657965
2023-08-03,4501.89,-0.002551225527671619
2023-08-04,4478.03,-0.005314091027456058
2023-08-07,4518.44,0.008983583955258112
2023-08-08,4499.38,-0.004227192022497661
2023-08-09,4467.71,-0.007063636404007312
2023-08-10,4468.83,0.0002506562955826297
2023-08-11,4464.05,-0.0010702036647138868
2023-08-14,4489.72,0.005733913274736935
2023-08-15,4437.86,-0.01161806073636562
2023-08-16,4404.33,-0.00758413033820915
2023-08-17,4370.36,-0.0077427623561252545
2023-08-18,4369.71,-0.00014874022775579476
2023-08-21,4399.77,0.006855621481268059
2023-08-22,4387.55,-0.002781282092231052
2023-08-23,4436.01,0.010984339030271073
2023-08-24,4376.31,-0.013549420207498386
2023-08-25,4405.71,0.006695523315476848
2023-08-28,4433.31,0.0062450565111582534
2023-08-29,4497.63,0.014404107984150372
2023-08-30,4514.87,0.003825802169906467
2023-08-31,4507.66,-0.0015982216816592398
2023-09-01,4515.77,0.0017975431036134637
2023-09-05,4496.83,-0.0042030108696096136
2023-09-06,4465.48,-0.006995992744252888
2023-09-07,4451.14,-0.0032164682050073168
2023-09-08,4457.49,0.0014255841976638095
2023-09-11,4487.46,0.006701012782986737
2023-09-12,4461.9,-0.005712155841120392
2023-09-13,4467.44,0.0012408533465713134
2023-09-14,4505.1,0.008394550741110507
2023-09-15,4450.32,-0.012234084667106515
2023-09-18,4453.53,0.0007210364368379629
2023-09-19,4443.95,-0.002153419552961111
2023-09-20,4402.2,-0.009439204623111763
2023-09-21,4330.0,-0.016536873951467967
2023-09-22,4320.06,-0.0022982509659392747
2023-09-25,4337.44,0.004015021275819208
2023-09-26,4273.53,-0.01484412871796259
2023-09-27,4274.51,0.00022929233000645866
2023-09-28,4299.7,0.005875776887473094
2023-09-29,4288.05,-0.00271316867551441
2023-10-02,4288.39,7.928697692172193e-05
2023-10-03,4229.45,-0.013839410161484267
2023-10-04,4263.75,0.008077093787001388
2023-10-05,4258.19,-0.0013048673867483984
2023-10-06,4308.5,0.011745628333713398
2023-10-09,4335.66,0.00628403208104622
2023-10-10,4358.24,0.0051944583608865
2023-10-11,4376.95,0.0042838286545681115
2023-10-12,4349.61,-0.006265948885271655
2023-10-13,4327.78,-0.005031477449687571
2023-10-16,4373.63,0.010538619453747344
2023-10-17,4373.2,-9.832133478049343e-05
2023-10-18,4314.6,-0.013490386223825368
2023-10-19,4278.0,-0.008519009694152757
2023-10-20,4224.16,-0.012665186185758515
2023-10-23,4217.04,-0.0016869643388464084
2023-10-24,4247.68,0.007239491399758435
2023-10-25,4186.77,-0.01444339793934546
2023-10-26,4137.23,-0.011903071819741484
2023-10-27,4117.37,-0.004811871761209119
2023-10-30,4166.82,0.011938544947970087
2023-10-31,4193.8,0.0064540892074660405
2023-11-01,4237.86,0.010451180679737604
2023-11-02,4317.78,0.018682956430735587
2023-11-03,4358.34,0.009349869637437891
2023-11-06,4365.98,0.0017514263468019209
2023-11-07,4378.38,0.00283611569324016
2023-11-08,4382.78,0.0010044332873562212
2023-11-09,4347.35,-0.008116762182437398
2023-11-10,4415.24,0.015495728650984475
2023-11-13,4411.55,-0.0008360910851976655
2023-11-14,4495.7,0.018895282757299015
2023-11-15,4502.88,0.0015958076771482865
2023-11-16,4508.24,0.0011896413835668085
2023-11-17,4514.02,0.0012812755985169844
2023-11-20,4547.38,0.0073631338909265764
2023-11-21,4538.19,-0.002022988790832514
2023-11-22,4556.62,0.004052866464977711
2023-11-24,4559.34,0.0005967555980319617
2023-11-27,4550.43,-0.001956142216799961
2023-11-28,4554.89,0.0009796471418237473
2023-11-29,4550.58,-0.0009466837674256823
2023-11-30,4567.8,0.003776991191685397
2023-12-01,4594.63,0.00585654170061467
2023-12-04,4569.78,-0.0054231665551185415
2023-12-05,4567.18,-0.0005691170958783687
2023-12-06,4549.34,-0.00391377911138413
2023-12-07,4585.59,0.00793661041331184
2023-12-08,4604.37,0.004087074621006437
2023-12-11,4622.44,0.003916851675080935
2023-12-12,4643.7,0.004588758060085851
2023-12-13,4707.09,0.013558420429298224
2023-12-14,4719.55,0.00264357337426091
2023-12-15,4719.19,-7.628136810033936e-05
2023-12-18,4740.56,0.004518097487249406
2023-12-19,4768.37,0.005849255234901207
2023-12-20,4698.35,-0.014793144174520378
2023-12-21,4746.75,0.010248790092495241
