date,first_timestamp,last_timestamp,n_price_observations,n_intraday_returns,rv,session_return,is_regular_close,is_model_eligible,quality_flag
2010-04-22,2010-04-22,2010-04-22,390,389,6.076474680744026e-05,0.008023232215355065,True,True,eligible_regular_session
2010-04-23,2010-04-23,2010-04-23,390,389,4.0105261799010194e-05,0.007679496632065282,True,True,eligible_regular_session
2010-04-26,2010-04-26,2010-04-26,390,389,2.822189831430521e-05,-0.003927951524815407,True,True,eligible_regular_session
2010-04-27,2010-04-27,2010-04-27,390,389,0.00010272566787413649,-0.019537182403515516,True,True,eligible_regular_session
2010-04-28,2010-04-28,2010-04-28,390,389,0.00010868608353211361,0.003017582425875912,True,True,eligible_regular_session
2010-04-29,2010-04-29,2010-04-29,390,389,3.95193740746279e-05,0.008355157371058653,True,True,eligible_regular_session
2010-04-30,2010-04-30,2010-04-30,390,389,7.692423893965585e-05,-0.01670174490452445,True,True,eligible_regular_session
2010-05-03,2010-05-03,2010-05-03,390,389,3.930410220592615e-05,0.008429562398411345,True,True,eligible_regular_session
2010-05-04,2010-05-04,2010-05-04,390,389,0.0001232232493737922,-0.01580866791301628,True,True,eligible_regular_session
2010-05-05,2010-05-05,2010-05-05,390,389,0.00011615035268068642,-0.0010374645641837096,True,True,eligible_regular_session
2010-05-06,2010-05-06,2010-05-06,390,389,0.0015824084873483594,-0.030492456623836078,True,True,eligible_regular_session
2010-05-07,2010-05-07,2010-05-07,390,389,0.0008111595894892962,-0.01372720496183075,True,True,eligible_regular_session
2010-05-10,2010-05-10,2010-05-10,390,389,0.00026189848018850885,0.02249167145678094,True,True,eligible_regular_session
2010-05-11,2010-05-11,2010-05-11,390,389,0.0001392139473551586,0.0036061065430425514,True,True,eligible_regular_session
2010-05-12,2010-05-12,2010-05-12,390,389,7.986180147328571e-05,0.010062924043038012,True,True,eligible_regular_session
2010-05-13,2010-05-13,2010-05-13,390,389,8.147276374138004e-05,-0.011130564642222287,True,True,eligible_regular_session
2010-05-14,2010-05-14,2010-05-14,390,389,0.00018399337579030846,-0.013688120693199012,True,True,eligible_regular_session
2010-05-17,2010-05-17,2010-05-17,389,388,0.00019364775787186606,-0.0015732740082146242,True,True,eligible_regular_session
2010-05-18,2010-05-18,2010-05-18,390,389,0.00018673353116628865,-0.019992450083619252,True,True,eligible_regular_session
2010-05-19,2010-05-19,2010-05-19,390,389,0.0002762119422071077,-0.001980757727022532,True,True,eligible_regular_session
2010-05-20,2010-05-20,2010-05-20,390,389,0.0004085765128168956,-0.02527464809731551,True,True,eligible_regular_session
2010-05-21,2010-05-21,2010-05-21,389,388,0.0003538721138189821,0.023742858722089005,True,True,eligible_regular_session
2010-05-24,2010-05-24,2010-05-24,390,389,0.0001438848316491882,-0.009900061392708022,True,True,eligible_regular_session
2010-05-25,2010-05-25,2010-05-25,390,389,0.000344452677323783,0.014548815131957627,True,True,eligible_regular_session
2010-05-26,2010-05-26,2010-05-26,390,389,0.00021112893982143377,-0.009588265724313079,True,True,eligible_regular_session
2010-05-27,2010-05-27,2010-05-27,390,389,0.00014295786105454644,0.020748620102874045,True,True,eligible_regular_session
2010-05-28,2010-05-28,2010-05-28,390,389,0.00020887798705819134,-0.011629736362971736,True,True,eligible_regular_session
2010-06-01,2010-06-01,2010-06-01,390,389,0.0001833463170450819,-0.013386509103407338,True,True,eligible_regular_session
2010-06-02,2010-06-02,2010-06-02,390,389,0.00010090201294182948,0.020898479489131174,True,True,eligible_regular_session
2010-06-03,2010-06-03,2010-06-03,390,389,0.00011495852621400365,0.0016693585920260353,True,True,eligible_regular_session
2010-06-04,2010-06-04,2010-06-04,390,389,0.00019767395814990955,-0.023472379127236563,True,True,eligible_regular_session
2010-06-07,2010-06-07,2010-06-07,390,389,0.00012254099342919836,-0.016020140667476233,True,True,eligible_regular_session
2010-06-08,2010-06-08,2010-06-08,390,389,0.00021483756805119484,0.009841853988766266,True,True,eligible_regular_session
2010-06-09,2010-06-09,2010-06-09,390,389,0.00014125761438393318,-0.009801782463257136,True,True,eligible_regular_session
2010-06-10,2010-06-10,2010-06-10,390,389,0.00013264316491955414,0.01893762044569621,True,True,eligible_regular_session
2010-06-11,2010-06-11,2010-06-11,390,389,9.475555322740978e-05,0.010914675386756697,True,True,eligible_regular_session
2010-06-14,2010-06-14,2010-06-14,390,389,9.512647861668316e-05,-0.0077797215601492055,True,True,eligible_regular_session
2010-06-15,2010-06-15,2010-06-15,390,389,5.362420027742873e-05,0.01841822699133417,True,True,eligible_regular_session
2010-06-16,2010-06-16,2010-06-16,390,389,6.851118054111417e-05,0.0034510063726918756,True,True,eligible_regular_session
2010-06-17,2010-06-17,2010-06-17,390,389,8.088881748796419e-05,-0.0017193058957510401,True,True,eligible_regular_session
2010-06-18,2010-06-18,2010-06-18,390,389,4.2728096378779864e-05,0.0006087462700856743,True,True,eligible_regular_session
2010-06-21,2010-06-21,2010-06-21,390,389,6.893450345172892e-05,-0.012889122863235505,True,True,eligible_regular_session
2010-06-22,2010-06-22,2010-06-22,390,389,9.39710617267245e-05,-0.017151371433898648,True,True,eligible_regular_session
2010-06-23,2010-06-23,2010-06-23,390,389,0.00016323139941297482,-0.0030272982781762853,True,True,eligible_regular_session
2010-06-24,2010-06-24,2010-06-24,390,389,0.00011925279852479626,-0.01327733569887314,True,True,eligible_regular_session
2010-06-25,2010-06-25,2010-06-25,390,389,0.00012022351941616818,0.001466289530030149,True,True,eligible_regular_session
2010-06-28,2010-06-28,2010-06-28,390,389,7.406963519815578e-05,-0.004373733043307648,True,True,eligible_regular_session
2010-06-29,2010-06-29,2010-06-29,390,389,0.0002153903676779641,-0.02198203870211929,True,True,eligible_regular_session
2010-06-30,2010-06-30,2010-06-30,390,389,0.00010884284566332725,-0.008790713396939608,True,True,eligible_regular_session
2010-07-01,2010-07-01,2010-07-01,390,389,0.00021616604771491666,-0.0031303798542454916,True,True,eligible_regular_session
2010-07-02,2010-07-02,2010-07-02,390,389,0.00011772820961529663,-0.00633703325686381,True,True,eligible_regular_session
2010-07-06,2010-07-06,2010-07-06,390,389,0.0001415072300621634,-0.004406832858319026,True,True,eligible_regular_session
2010-07-07,2010-07-07,2010-07-07,390,389,8.166463433149487e-05,0.029487953689539874,True,True,eligible_regular_session
2010-07-08,2010-07-08,2010-07-08,390,389,8.907392733902403e-05,0.0044863914902077365,True,True,eligible_regular_session
2010-07-09,2010-07-09,2010-07-09,390,389,5.038889801635865e-05,0.006757788767725656,True,True,eligible_regular_session
2010-07-12,2010-07-12,2010-07-12,390,389,5.879260312876237e-05,0.0031564510591752764,True,True,eligible_regular_session
2010-07-13,2010-07-13,2010-07-13,390,389,5.4240877766198575e-05,0.007939314516732394,True,True,eligible_regular_session
2010-07-14,2010-07-14,2010-07-14,390,389,6.901228592417475e-05,0.0024405304497171067,True,True,eligible_regular_session
2010-07-15,2010-07-15,2010-07-15,389,388,9.711394278496632e-05,0.001442382554411908,True,True,eligible_regular_session
2010-07-16,2010-07-16,2010-07-16,390,389,0.00010173870556728657,-0.024156570628817244,True,True,eligible_regular_session
2010-07-19,2010-07-19,2010-07-19,390,389,7.167725416278823e-05,0.002420686357451397,True,True,eligible_regular_session
2010-07-20,2010-07-20,2010-07-20,389,388,8.423478506665605e-05,0.021345487790852387,True,True,eligible_regular_session
2010-07-21,2010-07-21,2010-07-21,390,389,0.00011628062233414322,-0.0169383224447936,True,True,eligible_regular_session
2010-07-22,2010-07-22,2010-07-22,390,389,9.4639723811561e-05,0.01441458102097856,True,True,eligible_regular_session
